Name,Lat & Lon,stop_lat,stop_lon
Bay & High (Counter),"36.977557462525674, -122.05355111802844",36.97755746,-122.0535511
Coolidge & Hagar (Counter),"36.98135306944079, -122.05192394980376",36.98135307,-122.0519239
Hagar & Village (Counter),"36.985909106813686, -122.05354295211197",36.98590911,-122.053543
East Remote Parking Interior,"36.99076119893716, -122.05214451096131",36.9907612,-122.0521445
"Hagar, East Remote (Counter)","36.9913104390885, -122.05466741631547",36.99131044,-122.0546674
"Hagar, East Field House","36.99424112034999, -122.0555042653987",36.99424112,-122.0555043
"Hagar, Bookstore (Counter)","36.99748873170454, -122.05505365430176",36.99748873,-122.0550537
"McLaughlin, Crown & Merrill","36.99900537868343, -122.05516094266049",36.99900538,-122.0551609
College 9 & 10 (Counter),"36.999918548643386, -122.05831453727231",36.99991855,-122.0583145
Science Hill (Counter),"36.999967490932036, -122.06233194985059",36.99996749,-122.0623319
Kresge (Counter),"36.99928185768748, -122.06454536555407",36.99928186,-122.0645454
"Heller, RCC & Porter (Counter)","36.99298937533062, -122.06519855864393",36.99298938,-122.0651986
Family Student Housing,"36.991784017743775, -122.06679404999551",36.99178402,-122.066794
"Heller, Oakes (Counter)","36.98993644220617, -122.06719145246772",36.98993644,-122.0671915
Empire Grade & Heller Dr.,"36.98829001563217, -122.06878423990973",36.98829002,-122.0687842
"Empire Grade, Arboretum (Counter)","36.98367874279626, -122.06493038480421",36.98367874,-122.0649304
High & Tosca,"36.97980572898268, -122.05920632208323",36.97980573,-122.0592063
High & Western (Counter),"36.97863479962148, -122.05781332854254",36.9786348,-122.0578133
High & Bay (Clock),"36.977314368266356, -122.05429965809482",36.97731437,-122.0542997
High & Western (Clock),"36.9788081417627, -122.05772589420243",36.97880814,-122.0577259
"Empire Grade, Arboretum (Clock)","36.98275998331533, -122.06269236058249",36.98275998,-122.0626924
"Heller, Oakes (Clock)","36.99059305320169, -122.06608920599496",36.99059305,-122.0660892
"Heller, RCC & Porter (Clock)","36.99279256007961, -122.06485475288581",36.99279256,-122.0648548
"Heller, Redwood Grove (Clock)","36.99670837231998, -122.06358025444811",36.99670837,-122.0635803
Kresge (Clock),"36.999202332195644, -122.0643365912802",36.99920233,-122.0643366
Science Hill (Clock),"36.99984857738184, -122.06216823589857",36.99984858,-122.0621682
College 9 & 10 (Clock),"36.999748203297074, -122.05830856986871",36.9997482,-122.0583086
"Hagar, Bookstore (Clock)","36.996657449603774, -122.05541175963485",36.99665745,-122.0554118
"Hagar, East Remote (Clock)","36.991276516183056, -122.05488209443168",36.99127652,-122.0548821
Hagar & Village (Clock),"36.9855264410291, -122.05354990663804",36.98552644,-122.0535499
Coolidge & Hagar (Clock),"36.98156341877192, -122.05209816670244",36.98156342,-122.0520982