mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_size,param_scaler,param_sub_sequence_length,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.570428133010864,0.42060981336433007,0.12696290016174316,0.01938734692718029,50,RobustScaler(),3,"{'hidden_size': 50, 'scaler': RobustScaler(), 'sub_sequence_length': 3}",0.5335502236681577,0.7096296296296296,0.26452410383189123,0.7829457364341085,0.8913805185704274,0.6364060424268428,0.21941880267330846,15
7.507744979858399,0.5716529950364121,0.17862963676452637,0.06176739820959753,50,RobustScaler(),5,"{'hidden_size': 50, 'scaler': RobustScaler(), 'sub_sequence_length': 5}",0.44412607449856734,0.525634644101543,0.3397755610972569,0.7088967971530249,0.6147887323943662,0.5266443618489516,0.12862007324260033,23
11.425691652297974,0.9792777339136022,0.2980647087097168,0.057297379429215284,50,RobustScaler(),7,"{'hidden_size': 50, 'scaler': RobustScaler(), 'sub_sequence_length': 7}",0.5554182117840956,0.44856999498243855,0.5729559748427673,0.7972681524083394,0.4196744515215853,0.5587773571078453,0.13310556525586884,22
17.462876319885254,1.006456226614351,0.32142863273620603,0.11159191640206106,50,RobustScaler(),10,"{'hidden_size': 50, 'scaler': RobustScaler(), 'sub_sequence_length': 10}",0.562213899292551,0.5810055865921788,0.6290630975143403,0.8072992700729927,0.8780748663101604,0.6915313439564447,0.1273121555848875,2
5.714619445800781,0.6092760477770414,0.20470142364501953,0.041941715054111546,50,StandardScaler(),3,"{'hidden_size': 50, 'scaler': StandardScaler(), 'sub_sequence_length': 3}",0.4778365189101261,0.6918518518518518,0.2311495673671199,0.7914023960535589,0.8444288717589348,0.6073338411883183,0.22606315263022642,20
7.81162919998169,0.5687377304007846,0.16791915893554688,0.02318155765453754,50,StandardScaler(),5,"{'hidden_size': 50, 'scaler': StandardScaler(), 'sub_sequence_length': 5}",0.49324600900532134,0.6460925833748133,0.5280548628428927,0.5373665480427047,0.8580985915492958,0.6125717189630056,0.1329997257676903,18
8.72312536239624,0.5406039651633109,0.20577173233032225,0.02781645097384269,50,StandardScaler(),7,"{'hidden_size': 50, 'scaler': StandardScaler(), 'sub_sequence_length': 7}",0.42068397198187063,0.5669844455594582,0.2037735849056604,0.35657800143781454,0.2526539278131635,0.36013478633959345,0.1284263184737428,24
11.876233100891113,0.7357800024988935,0.22214741706848146,0.02833371994201765,50,StandardScaler(),10,"{'hidden_size': 50, 'scaler': StandardScaler(), 'sub_sequence_length': 10}",0.38202247191011235,0.4062976130015236,0.5869980879541109,0.743065693430657,0.8941176470588236,0.6025003026710455,0.19603346274496788,21
8.611621713638305,0.5282810226619117,0.1709519863128662,0.03600731923396368,100,RobustScaler(),3,"{'hidden_size': 100, 'scaler': RobustScaler(), 'sub_sequence_length': 3}",0.5583570557137048,0.6612345679012346,0.6279357231149567,0.7942212825933757,0.7950245269796776,0.6873546312605898,0.09366592386063642,6
13.962233924865723,0.826084006609529,0.21113486289978028,0.04945473282054381,100,RobustScaler(),5,"{'hidden_size': 100, 'scaler': RobustScaler(), 'sub_sequence_length': 5}",0.5378632828489562,0.6311597809855649,0.6408977556109726,0.80711743772242,0.7838028169014084,0.6801682148138644,0.10104546022536158,10
19.031593561172485,1.2705804112876862,0.26900758743286135,0.052162642945828404,100,RobustScaler(),7,"{'hidden_size': 100, 'scaler': RobustScaler(), 'sub_sequence_length': 7}",0.5327564894932015,0.6633216256899147,0.6081761006289308,0.7721063982746226,0.8248407643312102,0.680240275683576,0.1063763498433843,9
29.574781322479247,2.260980398074867,0.49415931701660154,0.15919283604938322,100,RobustScaler(),10,"{'hidden_size': 100, 'scaler': RobustScaler(), 'sub_sequence_length': 10}",0.5426550145651269,0.6099542915185373,0.6022944550669216,0.808029197080292,0.877361853832442,0.688058962412664,0.13025101941365452,5
10.773855590820313,1.8459858586613789,0.2629586696624756,0.040011537720269226,100,StandardScaler(),3,"{'hidden_size': 100, 'scaler': StandardScaler(), 'sub_sequence_length': 3}",0.4819032126880846,0.6276543209876543,0.24721878862793573,0.8118393234672304,0.8738612473721094,0.6084953786286029,0.22745602662003486,19
19.619393634796143,1.31852594846267,0.35044407844543457,0.06841968035187086,100,StandardScaler(),5,"{'hidden_size': 100, 'scaler': StandardScaler(), 'sub_sequence_length': 5}",0.5558739255014327,0.627177700348432,0.5311720698254364,0.8042704626334519,0.8838028169014085,0.6804593950420322,0.13951696051162146,8
29.1890597820282,1.8972653308104164,0.44086441993713377,0.08346334711617191,100,StandardScaler(),7,"{'hidden_size': 100, 'scaler': StandardScaler(), 'sub_sequence_length': 7}",0.5620107128141739,0.6869041645760161,0.590566037735849,0.7577282530553558,0.8467799009200283,0.6887978138202847,0.10529746627457622,4
38.23622541427612,3.2887555908100117,0.3909214973449707,0.12518448303116597,100,StandardScaler(),10,"{'hidden_size': 100, 'scaler': StandardScaler(), 'sub_sequence_length': 10}",0.4140657511444028,0.6424581005586593,0.567240280433397,0.808029197080292,0.6923351158645277,0.6248256890162558,0.13127663974260945,17
24.868302869796754,2.9085335360512086,0.2588564395904541,0.051293787536682775,200,RobustScaler(),3,"{'hidden_size': 200, 'scaler': RobustScaler(), 'sub_sequence_length': 3}",0.5416836112240748,0.6330864197530864,0.6131025957972805,0.8047921071176886,0.8227049754730204,0.6830739418730302,0.11108384629197232,7
30.597419595718385,1.7849061367086216,0.35082430839538575,0.12821437316528925,200,RobustScaler(),5,"{'hidden_size': 200, 'scaler': RobustScaler(), 'sub_sequence_length': 5}",0.556283258288989,0.6291687406669985,0.6115960099750624,0.804982206405694,0.7876760563380282,0.6779412543349543,0.09976196450980566,11
39.780527639389035,2.297303489491904,0.4445934295654297,0.10645150926175122,200,RobustScaler(),7,"{'hidden_size': 200, 'scaler': RobustScaler(), 'sub_sequence_length': 7}",0.5447053976102184,0.6342197691921726,0.6270440251572327,0.796549245147376,0.8524416135881104,0.690992010139022,0.11482204444007028,3
54.35393395423889,3.7289817094000077,0.5377761840820312,0.12489217296306837,200,RobustScaler(),10,"{'hidden_size': 200, 'scaler': RobustScaler(), 'sub_sequence_length': 10}",0.5464003329171868,0.6434738445911631,0.6226896112173359,0.808029197080292,0.8399286987522282,0.6921043369116411,0.1128747986622893,1
17.212336587905884,1.2105378513260356,0.224242639541626,0.05365413842034069,200,StandardScaler(),3,"{'hidden_size': 200, 'scaler': StandardScaler(), 'sub_sequence_length': 3}",0.5307035380235868,0.6488888888888888,0.37762669962917184,0.7082452431289641,0.8763139453398738,0.628355663002097,0.16774279045308982,16
27.407136011123658,1.6900471661656205,0.3153693199157715,0.07749633120520001,200,StandardScaler(),5,"{'hidden_size': 200, 'scaler': StandardScaler(), 'sub_sequence_length': 5}",0.5468686041751945,0.6017919362867098,0.5542394014962594,0.7338078291814947,0.8732394366197183,0.6619894415518752,0.12511679278843957,13
37.19389543533325,2.3720511492069845,0.3787870407104492,0.10331276978990653,200,StandardScaler(),7,"{'hidden_size': 200, 'scaler': StandardScaler(), 'sub_sequence_length': 7}",0.5657189946435929,0.6121424987456097,0.5125786163522013,0.7038102084831057,0.8793347487615003,0.654717013397202,0.12868553096470267,14
42.92928771972656,4.612107246071831,0.33460135459899903,0.10485443544415496,200,StandardScaler(),10,"{'hidden_size': 200, 'scaler': StandardScaler(), 'sub_sequence_length': 10}",0.548481065334998,0.6150330116810564,0.5340981516889739,0.8021897810218979,0.871301247771836,0.6742206514997523,0.13723322828457304,12
