mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6.424916553497314,0.1620078244377769,0.0336245059967041,0.0008652944854239784,,entropy,,100,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'n_estimators': 100}",0.4676190476190476,0.593735168485999,0.8248803827751197,0.6462945139557267,0.7430086788813887,0.6551075583434562,0.12291916087346272,26
7.968027925491333,0.19666450963828724,0.04115042686462402,0.0036014713431059414,,entropy,,125,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'n_estimators': 125}",0.490952380952381,0.6022781205505457,0.8411483253588516,0.6819056785370549,0.7348119575699132,0.6702192925937493,0.11855643946677095,21
9.484193229675293,0.24269779268239597,0.048574972152709964,0.002596178837057877,,entropy,,150,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'n_estimators': 150}",0.48714285714285716,0.5965828191741813,0.8258373205741627,0.6833493743984601,0.7430086788813887,0.66718421003421,0.11711611096787805,23
6.190707540512085,0.18337970376298174,0.04436283111572266,0.01784030573949408,,entropy,20,100,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 100}",0.47714285714285715,0.6013289036544851,0.8181818181818182,0.6448508180943214,0.733847637415622,0.6550704068978208,0.11615677911089242,27
7.745501518249512,0.31837783680158094,0.041089773178100586,0.003190886976093879,,entropy,20,125,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 125}",0.4857142857142857,0.6013289036544851,0.823444976076555,0.6612127045235804,0.7314368370298939,0.66062754139976,0.11457293855984234,25
9.33974747657776,0.21365754642045023,0.0452303409576416,0.0013623104705669641,,entropy,20,150,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 150}",0.5128571428571429,0.6046511627906976,0.830622009569378,0.6650625601539942,0.7352941176470589,0.6696973986036543,0.10867476276233522,22
6.183346271514893,0.1456273471747844,0.03190622329711914,0.0009637590138592779,,entropy,30,100,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 30, 'n_estimators': 100}",0.5190476190476191,0.6098718557190318,0.8401913875598086,0.6458132820019249,0.7386692381870781,0.6707186765030924,0.1101499002001638,20
7.7274353981018065,0.174424402832677,0.0383392333984375,0.0009668000746051507,,entropy,30,125,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 30, 'n_estimators': 125}",0.47714285714285715,0.6013289036544851,0.8368421052631579,0.6544754571703562,0.733847637415622,0.6607273921292957,0.12135362463722706,24
9.968783140182495,0.7719279022006456,0.05400490760803223,0.007656636011858455,,entropy,30,150,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 30, 'n_estimators': 150}",0.5204761904761904,0.593735168485999,0.8315789473684211,0.6756496631376323,0.7343297974927676,0.6711539533922021,0.1081157101164588,19
7.481053495407105,0.39461327292036064,0.04034433364868164,0.005207641347045031,balanced,entropy,,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'n_estimators': 100}",0.5504761904761905,0.6032273374466065,0.8502392344497608,0.6915303176130895,0.7352941176470589,0.6861534395265412,0.10454943278251629,9
8.748027801513672,0.0915444491999844,0.04299020767211914,0.0015718361891625097,balanced,entropy,,125,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'n_estimators': 125}",0.56,0.6018035121025154,0.8507177033492823,0.7025986525505293,0.7328833172613307,0.6896006370527316,0.10247507808138102,4
10.52695722579956,0.3348638905913108,0.05607328414916992,0.006671161497664911,balanced,entropy,,150,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'n_estimators': 150}",0.55,0.6037019458946369,0.8545454545454545,0.6968238691049086,0.7333654773384763,0.6876873493766953,0.10585173480276067,8
7.058990049362182,0.15723532837010942,0.04275412559509277,0.008002579988552711,balanced,entropy,20,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 100}",0.5619047619047619,0.6008542952064547,0.8531100478468899,0.6828681424446583,0.7304725168756027,0.6858419528556735,0.10253065458543781,11
8.706651973724366,0.16937699506705434,0.04334096908569336,0.00531668752256254,balanced,entropy,20,125,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 125}",0.5614285714285714,0.6056003796867584,0.8502392344497608,0.7083734359961501,0.7280617164898746,0.690740667610223,0.1011079174752193,3
10.508293962478637,0.42071277599371176,0.05968661308288574,0.01972041839296597,balanced,entropy,20,150,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 150}",0.5419047619047619,0.6022781205505457,0.8483253588516746,0.6920115495668913,0.73625843780135,0.6841556457350448,0.10645877507444024,16
7.06113862991333,0.5675890427744419,0.037944698333740236,0.004667688727350043,balanced,entropy,30,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 30, 'n_estimators': 100}",0.5666666666666667,0.6056003796867584,0.8244019138755981,0.6886429258902791,0.7367405978784957,0.6844104967995596,0.09211796120582999,15
9.159255361557006,0.09641729263371246,0.040464019775390624,0.0015060285152833288,balanced,entropy,30,125,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 30, 'n_estimators': 125}",0.5580952380952381,0.6037019458946369,0.8425837320574162,0.6920115495668913,0.7328833172613307,0.6858551565751025,0.09988507620260889,10
9.83118715286255,0.1771001257573211,0.04744281768798828,0.002935862163935125,balanced,entropy,30,150,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 30, 'n_estimators': 150}",0.5685714285714286,0.6037019458946369,0.8478468899521531,0.6944177093358999,0.7328833172613307,0.6894842582030898,0.09895964619604297,5
6.847919273376465,0.23120061185675161,0.034031105041503903,0.001041106975761706,balanced_subsample,entropy,,100,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': None, 'n_estimators': 100}",0.5728571428571428,0.6032273374466065,0.8382775119617225,0.7040423484119346,0.73625843780135,0.6909325556957513,0.09546815889695458,2
8.893248796463013,0.14306321209267048,0.03992919921875,0.0012235480494789284,balanced_subsample,entropy,,125,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': None, 'n_estimators': 125}",0.5695238095238095,0.6041765543426673,0.8421052631578947,0.6939364773820982,0.7343297974927676,0.6888143803798474,0.0969430613370508,6
10.456695699691773,0.13273350027074804,0.04816908836364746,0.0022488057730832597,balanced_subsample,entropy,,150,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': None, 'n_estimators': 150}",0.5538095238095239,0.6027527289985761,0.8344497607655502,0.7006737247353224,0.7319189971070396,0.6847209470832024,0.09874963717108323,12
6.831069612503052,0.19227989501962606,0.03461575508117676,0.0022633413033828335,balanced_subsample,entropy,20,100,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 100}",0.5519047619047619,0.6022781205505457,0.8516746411483254,0.6790182868142445,0.7381870781099324,0.684612577705562,0.10507291129072112,13
8.515545415878297,0.1920551513383084,0.04039797782897949,0.0015818084960490012,balanced_subsample,entropy,20,125,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 125}",0.5319047619047619,0.6037019458946369,0.8507177033492823,0.699711260827719,0.7367405978784957,0.6845552539709792,0.10991124091823426,14
10.173741388320924,0.2354970308561681,0.04769983291625977,0.002726678499385748,balanced_subsample,entropy,20,150,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 150}",0.5647619047619048,0.6041765543426673,0.8502392344497608,0.7059672762271415,0.7391513982642237,0.6928592736091396,0.10134771158145735,1
6.8212175369262695,0.1770458139826311,0.03476009368896484,0.0029833684387936183,balanced_subsample,entropy,30,100,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 30, 'n_estimators': 100}",0.5661904761904762,0.6022781205505457,0.8363636363636363,0.7059672762271415,0.7314368370298939,0.6884472692723387,0.09633914145275023,7
8.732726430892944,0.32453862516310233,0.04160795211791992,0.005034600840563474,balanced_subsample,entropy,30,125,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 30, 'n_estimators': 125}",0.540952380952381,0.6065495965828192,0.838755980861244,0.6929740134744947,0.7357762777242044,0.6830016499190287,0.10311831287932907,18
9.03624176979065,0.5508684397642708,0.036374568939208984,0.003387206210078204,balanced_subsample,entropy,30,150,"{'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_depth': 30, 'n_estimators': 150}",0.5614285714285714,0.6032273374466065,0.8349282296650717,0.6958614051973051,0.7246865959498554,0.684026427937482,0.09604519473549927,17
